i,word,freq,ipa,xsampa
16984,Kurzyna,3,"['k', 'u', 'r', 'z', 'y', 'n', 'a']","['k', 'u', 'r', 'z', 'y', 'n', 'a']"
16985,Kutlu,3,"['k', 'u', 't', 'l', 'u']","['k', 'u', 't', 'l', 'u']"
17028,Laborcom,3,"['l', 'a', 'b', 'ə', 'r', 'c', 'ɔ', 'm']","['l', 'a', 'b', '@', 'r', 'c', 'O', 'm']"
17029,Laje,3,"['l', 'a', 'd͡z', 'e']","['l', 'a', 'dz', 'e']"
17030,Lajeado,3,"['l', 'a', 'd͡z', 'e', 'a', 'd', 'ə']","['l', 'a', 'dz', 'e', 'a', 'd', '@']"
17032,Lambayeque,3,"['l', 'a', 'm', 'b', 'a', 'y', 'e', 'q', 'u̯', 'e']","['l', 'a', 'm', 'b', 'a', 'y', 'e', 'q', 'u_^', 'e']"
17033,Lambert,3,"['l', 'a', 'm', 'b', 'e', 'r', 't']","['l', 'a', 'm', 'b', 'e', 'r', 't']"
17034,Lance,3,"['l', 'a', 'n', 'c', 'e']","['l', 'a', 'n', 'c', 'e']"
17035,Landing,3,"['l', 'a', 'n', 'd', 'i', 'ə̯', 'ŋ']","['l', 'a', 'n', 'd', 'i', '@_^', 'N']"
17036,Landover,3,"['l', 'a', 'n', 'd', 'ə', 'v', 'e', 'r']","['l', 'a', 'n', 'd', '@', 'v', 'e', 'r']"
17037,Landry,3,"['l', 'a', 'n', 'd', 'r', 'y']","['l', 'a', 'n', 'd', 'r', 'y']"
17038,Langley,3,"['l', 'a', 'ŋ', 'l', 'e', 'y']","['l', 'a', 'N', 'l', 'e', 'y']"
17039,Lanka,3,"['l', 'a', 'n', 'k', 'a']","['l', 'a', 'n', 'k', 'a']"
17040,Lao,3,"['l', 'a', 'ə']","['l', 'a', '@']"
17041,Lario,3,"['l', 'a', 'r', 'i̯', 'o']","['l', 'a', 'r', 'i_^', 'o']"
17042,Larsen,3,"['l', 'a', 'r', 's', 'e', 'n']","['l', 'a', 'r', 's', 'e', 'n']"
17043,Laskownica,3,"['l', 'a', 's', 'k', 'ə', 'w', 'n', 'i', 'c', 'a']","['l', 'a', 's', 'k', '@', 'w', 'n', 'i', 'c', 'a']"
17044,Lauren,3,"['l', 'a', 'u̯', 'r', 'e', 'n']","['l', 'a', 'u_^', 'r', 'e', 'n']"
17045,Laurence,3,"['l', 'a', 'u̯', 'r', 'e', 'n', 'c', 'e']","['l', 'a', 'u_^', 'r', 'e', 'n', 'c', 'e']"
