i,word,freq,ipa,xsampa
13121,Intel,10,"['ɪ', 'ɲ', 't', 'e̞', 'l']","['I', 'J', 't', 'e_o', 'l']"
13123,Jennifer,10,"['t͡ɕ', 'ə', 'ɲ', 'n', 'i', 'f', 'ə', 'ɻ']","['ts\\', '@', 'J', 'n', 'i', 'f', '@', 'r\\`']"
13124,Jenny,10,"['t͡ɕ', 'ə', 'ɲ', 'ɲ']","['ts\\', '@', 'J', 'J']"
13125,Jim,10,"['t͡ɕ', 'i', 'm']","['ts\\', 'i', 'm']"
13126,Johnson,10,"['t͡ɕ', 'o', 'h', 'n', 's', 'ʊ', 'ŋ']","['ts\\', 'o', 'h', 'n', 's', 'U', 'N']"
13127,Jon,10,"['t͡ɕ', 'ʊ', 'ŋ']","['ts\\', 'U', 'N']"
13128,Joseon,10,"['t͡ɕ', 'o', 's', 'e̞', 'ʊ', 'ŋ']","['ts\\', 'o', 's', 'e_o', 'U', 'N']"
13129,June,10,"['t͡ɕ', 'ɯ', 'ə̯', 'ɲ', 'e̞']","['ts\\', 'M', '@_^', 'J', 'e_o']"
13131,Leon,10,"['l', 'e̞', 'ʊ', 'ŋ']","['l', 'e_o', 'U', 'N']"
13132,Lewis,10,"['l', 'e̞', 'w', 'i', 's']","['l', 'e_o', 'w', 'i', 's']"
13134,M,10,['m'],['m']
13137,Milton,10,"['m', 'i', 'l', 't', 'ʊ', 'ŋ']","['m', 'i', 'l', 't', 'U', 'N']"
13141,Norman,10,"['n', 'o', 'z̩', 'm', 'ã']","['n', 'o', 'z=', 'm', 'a~']"
13142,Northern,10,"['n', 'o', 'z̩', 'tʰ', 'ə', 'ɻ', 'n']","['n', 'o', 'z=', 't_h', '@', 'r\\`', 'n']"
13144,OM,10,"['o', 'm']","['o', 'm']"
13147,Philippe,10,"['pʰ', 'i', 'l', 'i', 'p', 'p', 'e̞']","['p_h', 'i', 'l', 'i', 'p', 'p', 'e_o']"
13148,Phonetic,10,"['pʰ', 'ʊ', 'ŋ', 'e̞', 't', 'i', 'c']","['p_h', 'U', 'N', 'e_o', 't', 'i', 'c']"
13151,Reino,10,"['z̩', 'e̞', 'ɪ', 'ɲ', 'o']","['z=', 'e_o', 'I', 'J', 'o']"
13153,SO,10,"['s', 'o']","['s', 'o']"
13154,Show,10,"['s', 'h', 'o', 'w']","['s', 'h', 'o', 'w']"
