i,word,freq,ipa,xsampa
23768,ยันทราบรายงานเกิ,3,"['j', 'a', 'n', 'tʰ', 'r', 'aː', 'b', 'r', 'aː', 'j', 'a', 'ŋ', 'aː', 'n', 'k', 'ɤ', 'ʔ']","['j', 'a', 'n', 't_h', 'r', 'a:', 'b', 'r', 'a:', 'j', 'a', 'N', 'a:', 'n', 'k', '7', '?']"
23771,ยันมาตามนัด,3,"['j', 'a', 'n', 'm', 'aː', 't', 'aː', 'm', 'n', 'a', 't']","['j', 'a', 'n', 'm', 'a:', 't', 'a:', 'm', 'n', 'a', 't']"
23780,ยันอินโดนีเซีย,3,"['j', 'a', 'n', 'ʔ', 'i', 'n', 'a', 'd', 'oː', 'n', 'iː', 's', 'iː', 'a̯']","['j', 'a', 'n', '?', 'i', 'n', 'a', 'd', 'o:', 'n', 'i:', 's', 'i:', 'a_^']"
23785,ยันไปกันหลายคน,3,"['j', 'a', 'n', 'p', 'a', 'j', 'k', 'a', 'n', 'h', 'a', 'l', 'aː', 'j', 'kʰ', 'o', 'n']","['j', 'a', 'n', 'p', 'a', 'j', 'k', 'a', 'n', 'h', 'a', 'l', 'a:', 'j', 'k_h', 'o', 'n']"
23796,ยามยาก,3,"['j', 'aː', 'm', 'j', 'aː', 'k']","['j', 'a:', 'm', 'j', 'a:', 'k']"
23797,ยาวประมาณ,3,"['j', 'aː', 'w', 'p', 'r', 'a', 'm', 'aː', 'n']","['j', 'a:', 'w', 'p', 'r', 'a', 'm', 'a:', 'n']"
23802,ยิงมายิงตอบ,3,"['j', 'i', 'ŋ', 'm', 'aː', 'j', 'i', 'ŋ', 't', 'ɔː', 'b']","['j', 'i', 'N', 'm', 'a:', 'j', 'i', 'N', 't', 'O:', 'b']"
23812,ยี,3,"['j', 'iː']","['j', 'i:']"
23814,ยึดสนามบินอีก,3,"['j', 'ɯ', 't', 's', 'a', 'n', 'aː', 'm', 'b', 'i', 'n', 'a', 'ʔ', 'iː', 'k']","['j', 'M', 't', 's', 'a', 'n', 'a:', 'm', 'b', 'i', 'n', 'a', '?', 'i:', 'k']"
23824,ยุคทักษิณ,3,"['j', 'u', 'k', 'tʰ', 'a', 'k', 'a', 's', 'i', 'n']","['j', 'u', 'k', 't_h', 'a', 'k', 'a', 's', 'i', 'n']"
23826,ยุง,3,"['j', 'u', 'ŋ']","['j', 'u', 'N']"
23827,ยุติความรัก,3,"['j', 'u', 't', 'i', 'k', 'w', 'aː', 'm', 'a', 'r', 'a', 'k']","['j', 'u', 't', 'i', 'k', 'w', 'a:', 'm', 'a', 'r', 'a', 'k']"
