cohort	entropy	cohort.p	cohort.size	nb.cont.segs	position	cohort.h	cohort.h.scaled	cohort.size.scaled	nb.cont.segs.scaled	entropy.scaled
cy	0	0.002074943601610828	29	1	3	8.912712161109585	-0.1695994349097918	0.24463519937746042	-1.3491575424748008	-1.5275544057756607
Cy	0	0.0012410877617111498	30	1	3	9.654179147510732	0.11655503256537922	0.26971397670014335	-1.3491575424748008	-1.5275544057756607
da	1.9375986912198373	0.010161406049010037	133	4	3	6.6207561459732815	-1.0541343704045676	1.3713185701689945	1.1594996131812185	1.4300266464980527
dA	0.86474560213884	0.015028797114470952	156	3	3	6.0561266473491315	-1.2720419191732375	1.4893142754641997	0.32328056129587873	-0.20759314676349738
de	0.9339579595700358	0.002960511431581805	50	2	3	8.399937860134944	-0.36749449931791445	0.6475988060348848	-0.512938490589461	-0.10194631811456363
dE	0.07164167960545775	0.0016483196835226205	13	1	3	9.244788211373029	-0.04144127403790139	-0.3489030761737116	-1.3491575424748008	-1.4181994216324938
di	1.429874426047897	0.005604286923976911	81	3	3	7.479253465010053	-0.7228143687545935	1.0044750365767352	0.32328056129587873	0.6550283595685993
dI	0.9476044158038515	4.589439118827689e-4	8	3	3	11.089394528727206	0.6704479241660616	-0.7080589790330346	0.32328056129587873	-0.08111615314247321
do	0.9104938837821175	0.016618940809163363	126	2	3	5.911027753398232	-1.3280399575097583	1.3313221766214354	-0.512938490589461	-0.13776225165845551
dO	0	6.463998758912238e-6	1	1	3	17.239141648231886	3.043820770650097	-2.2463322674717277	-1.3491575424748008	-1.5275544057756607
du	0.487933310814359	0.00228179156189602	44	2	3	8.775617274960707	-0.22250848529100073	0.5530336755307297	-0.512938490589461	-0.782765342190359
dW	0.1250032034090318	1.4220797269606924e-4	2	1	3	12.77971002959459	1.322791643963247	-1.73357450465883	-1.3491575424748008	-1.3367475542065588
dy	0	5.365118969897157e-4	21	1	3	10.864102216884962	0.5835008277965019	0.005862587796422103	-1.3491575424748008	-1.5275544057756607
fa	1.5041021019171905	0.005274622987272386	82	5	3	7.566716306260393	-0.6890598210527004	1.0135518753828938	1.9957186650665582	0.7683306489952745
